"Universidad de la Cuenca del Plata"	"Corrientes"	"Corrientes"	"AR"
"Universidad Nacional del Nordeste"	"Corrientes"	"Corrientes"	"AR"
"Universidad del Salvador"	"Virasoro"	"Corrientes"	"AR"
"Universidad Nacional de Concepción del Uruguay"	"Concepción del Uruguay"	"Entre Ríos"	"AR"
"Universidad Nacional de Entre Ríos"	"Concepción del Uruguay"	"Entre Ríos"	"AR"
"Universidad Adventista del Plata"	"Libertador San Martín"	"Entre Ríos"	"AR"
"Universidad Autónoma de Entre Ríos"	"Paraná"	"Entre Ríos"	"AR"
"Universidad Católica Argentina"	"Paraná"	"Entre Ríos"	"AR"
"Universidad Tecnológica Nacional"	"Paraná"	"Entre Ríos"	"AR"
"Universidad Nacional de Formosa"	"Formosa"	"Formosa"	"AR"
"Universidad Nacional Jujuy"	"San Salvador de Jujuy"	"Jujuy"	"AR"
"Universidad Nacional de La Pampa"	"Santa Rosa"	"La Pampa"	"AR"
"Universidad Nacional de Chilecito"	"Chilecito"	"La Rioja"	"AR"
"Universidad Nacional de La Rioja"	"La Rioja"	"La Rioja"	"AR"
"Universidad Tecnológica Nacional"	"La Rioja"	"La Rioja"	"AR"
"Universidad Juan Agustín Maza"	"Guaymallén"	"Mendoza"	"AR"
"Universidad Católica Argentina"	"Mendoza"	"Mendoza"	"AR"
"Universidad de Congreso"	"Mendoza"	"Mendoza"	"AR"
"Universidad de Mendoza"	"Mendoza"	"Mendoza"	"AR"
"Universidad del Aconcagua"	"Mendoza"	"Mendoza"	"AR"
"Universidad Nacional de Cuyo"	"Mendoza"	"Mendoza"	"AR"
"Universidad Champagnat"	"San Rafael"	"Mendoza"	"AR"
"Universidad Tecnológica Nacional"	"San Rafael"	"Mendoza"	"AR"
"Universidad Gastón Dachary"	"Posadas"	"Misiones"	"AR"
"Universidad Nacional de Misiones"	"Posadas"	"Misiones"	"AR"
"Universidad Tecnológica Nacional"	"Confluencia"	"Neuquén"	"AR"
"Universidad Nacional del Comahue"	"Neuquén"	"Neuquén"	"AR"
"Instituto Balseiro"	"Bariloche"	"Río Negro"	"AR"
"Universidad Nacional de Río Negro"	"Viedma"	"Río Negro"	"AR"
"Universidad Nacional del Comahue"	"Viedma"	"Río Negro"	"AR"
"Universidad Católica de Salta"	"Salta"	"Salta"	"AR"
"Universidad Nacional de Salta"	"Salta"	"Salta"	"AR"
"Universidad Católica de Cuyo"	"San Juan"	"San Juan"	"AR"
"Universidad Nacional de San Juan"	"San Juan"	"San Juan"	"AR"
"Universidad Nacional de San Luís"	"San Luís"	"San Luís"	"AR"
"Universidad Provincial de la Punta"	"San Luís"	"San Luís"	"AR"
"Universidad Nacional de la Patagonia Austral"	"Río Gallegos"	"Santa Cruz"	"AR"
"Universidad de Ciencias Empresariales y Sociales"	"Rafaela"	"Santa Fé"	"AR"
"Instituto Universitario del Gran Rosario"	"Rosario"	"Santa Fé"	"AR"
"Instituto Universitario IDEA"	"Rosario"	"Santa Fé"	"AR"
"Instituto Universitario Italiano de Rosario"	"Rosario"	"Santa Fé"	"AR"
"Universidad Abierta Interamericana"	"Rosario"	"Santa Fé"	"AR"
"Universidad Austral"	"Rosario"	"Santa Fé"	"AR"
"Universidad Católica Argentina"	"Rosario"	"Santa Fé"	"AR"
"Universidad del Centro Educ. Latinoamericano"	"Rosario"	"Santa Fé"	"AR"
"Universidad Nacional de Rosario"	"Rosario"	"Santa Fé"	"AR"
"Instituto de Desarrollo Tecnológico para la Industria Química"	"Santa Fé"	"Santa Fé"	"AR"
"Instituto de Física de Rosario"	"Santa Fé"	"Santa Fé"	"AR"
"Universidad Católica de Santa Fé"	"Santa Fé"	"Santa Fé"	"AR"
