ocirc|&#244;|&ocirc;| small o, circumflex accent |ocirc
otilde|&#245;|&otilde;| small o, tilde |otilde
ouml|&#246;|&ouml;| small o, dieresis or umlaut mark |ouml
divide|&#247;|&divide;| divide sign |divide
oslash|&#248;|&oslash;| small o, slash |oslash
ugrave|&#249;|&ugrave;| small u, grave accent |ugrave
uacute|&#250;|&uacute;| small u, acute accent |uacute
ucirc|&#251;|&ucirc;| small u, circumflex accent |ucirc
uuml|&#252;|&uuml;| small u, dieresis or umlaut mark |uuml
yacute|&#253;|&yacute;| small y, acute accent |yacute
thorn|&#254;|&thorn;| small thorn, Icelandic |thorn
yuml|&#255;|&yuml;| small y, dieresis or umlaut mark |yuml
fnof|&#402;|&fnof;| latin small f with hook, =function, =florin, u+0192 ISOtech |fnof
Alpha|&#913;|&Alpha;| greek capital letter alpha, u+0391 |Alpha
Beta|&#914;|&Beta;| greek capital letter beta, u+0392 |Beta
Gamma|&#915;|&Gamma;| greek capital letter gamma, u+0393 ISOgrk3 |Gamma
Delta|&#916;|&Delta;| greek capital letter delta, u+0394 ISOgrk3 |Delta
Epsilon|&#917;|&Epsilon;| greek capital letter epsilon, u+0395 |Epsilon
Zeta|&#918;|&Zeta;| greek capital letter zeta, u+0396 |Zeta
Eta|&#919;|&Eta;| greek capital letter eta, u+0397 |Eta
Theta|&#920;|&Theta;| greek capital letter theta, u+0398 ISOgrk3 |Theta
Iota|&#921;|&Iota;| greek capital letter iota, u+0399 |Iota
Kappa|&#922;|&Kappa;| greek capital letter kappa, u+039A |Kappa
Lambda|&#923;|&Lambda;| greek capital letter lambda, u+039B ISOgrk3 |Lambda
Mu|&#924;|&Mu;| greek capital letter mu, u+039C |Mu
Nu|&#925;|&Nu;| greek capital letter nu, u+039D |Nu
Xi|&#926;|&Xi;| greek capital letter xi, u+039E ISOgrk3 |Xi
Omicron|&#927;|&Omicron;| greek capital letter omicron, u+039F |Omicron
Pi|&#928;|&Pi;| greek capital letter pi, u+03A0 ISOgrk3 |Pi
Rho|&#929;|&Rho;| greek capital letter rho, u+03A1 |Rho
Sigma|&#931;|&Sigma;| greek capital letter sigma, u+03A3 ISOgrk3 |Sigma
Tau|&#932;|&Tau;| greek capital letter tau, u+03A4 |Tau
Upsilon|&#933;|&Upsilon;| greek capital letter upsilon, u+03A5 ISOgrk3 |Upsilon
Phi|&#934;|&Phi;| greek capital letter phi, u+03A6 ISOgrk3 |Phi
Chi|&#935;|&Chi;| greek capital letter chi, u+03A7 |Chi
Psi|&#936;|&Psi;| greek capital letter psi, u+03A8 ISOgrk3 |Psi
Omega|&#937;|&Omega;| greek capital letter omega, u+03A9 ISOgrk3 |Omega
alpha|&#945;|&alpha;| greek small letter alpha, u+03B1 ISOgrk3 |alpha
