Symbol	ISSN in use	Print ISSN	E-ISSN	Collection Name	Acronym	Short Title	Title	Short Title-NLM	Publisher	URL journal page	License
scl	0103-7307	0103-7307	1980-6248	Brazil	pp	Pro-Posições	Pro-Posições		UNICAMP - Faculdade de Educação	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-7307&lng=en	by/4.0
scl	0103-6513	0103-6513	1980-5411	Brazil	prod	Prod.	Production		Associação Brasileira de Engenharia de Produção	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6513&lng=en	by/4.0
scl	1413-8271	1413-8271	2175-3563	Brazil	pusf	Psico-USF	Psico-USF		Universidade de São Francisco, Programa de Pós-Graduação Stricto Sensu em Psicologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8271&lng=en	by/4.0
scl	0102-7182	0102-7182	1807-0310	Brazil	psoc	Psicol. Soc.	Psicologia & Sociedade		Associação Brasileira de Psicologia Social	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-7182&lng=en	by/4.0
scl	0103-5665	0103-5665	1980-5438	Brazil	pc	Psicol. clin.	Psicologia Clínica		Departamento de Psicologia da Pontifícia Universidade Católica do Rio de Janeiro	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-5665&lng=en	by-nc/4.0
scl	1413-8557	1413-8557	2175-3539	Brazil	pee	Psicol. Esc. Educ.	Psicologia Escolar e Educacional		Associação Brasileira de Psicologia Escolar e Educacional (ABRAPEE)	http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8557&lng=en	by/4.0
scl	0103-6564	0103-6564	1678-5177	Brazil	pusp	Psicol. USP	Psicologia USP		Instituto de Psicologia da Universidade de São Paulo	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6564&lng=en	by-nc-nd/4.0
scl	1414-9893	1414-9893	1982-3703	Brazil	pcp	Psicol. cienc. prof.	Psicologia: Ciência e Profissão		Conselho Federal de Psicologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=1414-9893&lng=en	by/4.0
scl	0102-7972	0102-7972	1678-7153	Brazil	prc	Psicol. Reflex. Crit.	Psicologia: Reflexão e Crítica		Curso de Pós-Graduação em Psicologia da Universidade Federal do Rio Grande do Sul	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-7972&lng=en	by/4.0
scl	0102-3772	0102-3772	1806-3446	Brazil	ptp	Psic.: Teor. e Pesq.	Psicologia: Teoria e Pesquisa		Instituto de Psicologia, Universidade de Brasília	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3772&lng=en	by/4.0
scl	1983-3288	1984-3054	1983-3288	Brazil	pn	Psychol. Neurosci.	Psychology & Neuroscience		Pontificia Universidade Católica do Rio de Janeiro; Universidade de Brasília; Universidade de São Paulo	http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-3288&lng=en	by/4.0
scl	0100-4042	0100-4042	1678-7064	Brazil	qn	Quím. Nova	Química Nova		Sociedade Brasileira de Química	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-4042&lng=en	by-nc/4.0
scl	1676-5648		1676-5648	Brazil	raeel	RAE electron.	RAE eletrônica		Fundação Getulio Vargas/Escola de Administração de Empresas de São Paulo	http://www.scielo.br/scielo.php?script=sci_serial&pid=1676-5648&lng=en	by-nc/4.0
scl	1678-6971	1518-6776	1678-6971	Brazil	ram	RAM, Rev. Adm. Mackenzie	RAM. Revista de Administração Mackenzie		Universidade Presbiteriana Mackenzie	http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-6971&lng=en	by/4.0
scl	1413-2311	1980-4164	1413-2311	Brazil	read	REAd. Rev. eletrôn. adm. (Porto Alegre)	REAd. Revista Eletrônica de Administração (Porto Alegre)		Escola de Administração da UFRGS	http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-2311&lng=en	by-nc/4.0
scl	1980-8585	1980-8585	2237-9843	Brazil	remhu	REMHU, Rev. Interdiscip. Mobil. Hum.	REMHU : Revista Interdisciplinar da Mobilidade Humana		Centro Scalabriniano de Estudos Migratórios	http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-8585&lng=en	by/4.0
scl	1981-8637	1981-8637	1981-8637	Brazil	rgo	RGO, Rev. Gaúch. Odontol.	RGO - Revista Gaúcha de Odontologia		Faculdade São Leopoldo Mandic	http://www.scielo.br/scielo.php?script=sci_serial&pid=1981-8637&lng=en	by/4.0
scl	0100-3984	0100-3984	1678-7099	Brazil	rb	Radiol Bras	Radiologia Brasileira	Radiol Bras.	Colégio Brasileiro de Radiologia e Diagnóstico por Imagem	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-3984&lng=en	by/4.0
scl	0100-8587	0100-8587	1984-0438	Brazil	rs	Relig. soc.	Religião & Sociedade		Instituto de Estudos da Religião	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-8587&lng=en	by-nc/4.0
